,eyebrow,eye,nose,forehead
0,0.3303673180754436,0.17370279615467657,0.044502073453067385,0.1582518419561885
1,0.3517940732474358,0.17884574864575212,0.04232573128512485,0.12265125786720689
2,0.3293400543273853,0.16474442223440633,0.03259926533693141,0.13329833080591333
3,0.33572821279335924,0.18481838709458928,0.036228380581804255,0.13110300717050616
4,0.3485816874507129,0.17135128918522527,0.03807397247190363,0.1290611631884164
5,0.31628510313833313,0.1638686699991326,0.045012918337299555,0.1316819628902454
6,0.3300470780388199,0.17918014776222982,0.034899871047775415,0.12317629534627479
7,0.32334479258086407,0.16126934718260075,0.03528884664956477,0.1434353665446193
8,0.347427299326547,0.17799798986637605,0.03948960327229809,0.15652708545054572
9,0.32376287254255737,0.1746031746031746,0.03189630483570192,0.11735210267950352
10,0.3283195567157708,0.16695551790827984,0.037712319564813475,0.13137316096680887
11,0.34018526746975075,0.1724137931034483,0.042694603791293854,0.12376543866115952
12,0.3459494900355918,0.16936853544701083,0.035214390503777296,0.12809552693400947
14,0.30581582049033396,0.16285275926136236,0.04071435162913577,0.15687728666459405
15,0.3179783673611362,0.1670862755841828,0.03436283351168524,0.11780375208422965
16,0.34578803581619266,0.1651756399756606,0.03803560000106629,0.1334883197562139
17,0.34906750722680957,0.16895089558511803,0.036213368239177895,0.12299101210735752
18,0.34456628052075244,0.17635750019848262,0.0328502428838329,0.11432401248878842
19,0.34535667355053745,0.16445215329000695,0.04167975449831713,0.1447919260025447
20,0.33989785770827,0.16759589386289536,0.030274619296712244,0.12375279239277612
21,0.3208986224109242,0.16878027767808138,0.040385198211495714,0.13015668257160745
23,0.33537966234367,0.1811629385219731,0.03870477406062115,0.12143541271273378
24,0.32901729574354227,0.16524454892092497,0.037750529053984024,0.15381143010103465
25,0.33673879571525844,0.17368892158675722,0.039574804666896966,0.15286087864258457
26,0.3189564041360256,0.15959241469280652,0.043530278666683395,0.1571782003900966
27,0.30066543179135097,0.1742910171266815,0.040554985684646695,0.14209027666129664
28,0.3503130245579691,0.16677635027295384,0.0385576766402514,0.12587054469719453
29,0.3400001169835294,0.18088525753521154,0.04315332283282408,0.1328178361261634
30,0.3227414145450292,0.16289899105708913,0.03674098137264923,0.14256838371728084
31,0.3519367923677562,0.18091034225775918,0.036368664880261886,0.13674906752798757
32,0.33591341661609625,0.1729805311006654,0.038123446835825664,0.13836623919407987
33,0.333407336240295,0.17391348862982253,0.03749035797528666,0.12716668420684366
34,0.33827700691415413,0.16932162435684495,0.028642114142657556,0.1058585442707616
35,0.3315407265655773,0.16861894959663673,0.03134865978922032,0.12522246026524522
36,0.3221480711424282,0.17353749301143423,0.029044283098122896,0.13317196202748519
37,0.34267962018414677,0.18301679212908584,0.04304314576667179,0.12396153172238339
38,0.3282798423492368,0.17093392757666917,0.03592465703084257,0.13292814167925818
39,0.3279222027242995,0.18280007374690901,0.036269568509635974,0.13010128358070794
40,0.3396622832906448,0.1735276776376401,0.035623780969846856,0.12072432086372574
41,0.3364882103093851,0.1701181743126841,0.038902426561272976,0.11742044353117369
42,0.35545227811237906,0.1731423628867882,0.031071441599551483,0.11084206325761224
44,0.3208470746167998,0.18289685566678035,0.0354828650325577,0.12888534493616982
45,0.33088553099127777,0.16869729033137074,0.03619619355709408,0.12824339204908428
46,0.36469585596444315,0.17183258085812483,0.044238623723939094,0.14561694126307315
47,0.322729716136239,0.16674992811828565,0.03342162647447136,0.11456971437400541
48,0.3291049441333583,0.16992012363915523,0.03670762924700497,0.1218593001064466
49,0.33473987938229033,0.18122833199463675,0.035732971106205325,0.14927756388315983
50,0.3298815973215543,0.17167856350502186,0.04106370209142187,0.14878316480885473
51,0.33547218231344683,0.17099646288716477,0.04047647881576296,0.14432969996763434
