,eyebrow,eye,nose,forehead,,,eyebrow_rich,eyebrow_normal,eye_rich,eye_normal,nose_rich,nose_normal,forehead_rich,forehead_normal
87,0.321046987,0.178868533,0.036194473,0.133012802,,,,,,,,,,
88,0.33356467,0.166666667,0.035150791,0.113918104,,,,,,,,,,
89,0.348267844,0.178413974,0.032486514,0.126408788,,,,,,,,,,
90,0.347448809,0.174815994,0.040654055,0.126686724,,,,,,,,,,
91,0.315382081,0.169375426,0.036883976,0.134339684,,,,,,,,,,
92,0.341612884,0.173795446,0.034388569,0.115715282,,,,,,,,,,
93,0.338922326,0.168931795,0.033988381,0.115413205,,,,,,,,,,
94,0.352827411,0.168953316,0.034303374,0.123928536,,,,,,,,,,
95,0.333999096,0.173845397,0.03796898,0.142178324,,,,,,,,,,
96,0.322460963,0.169331577,0.032978029,0.119049462,,,,,,,,,,
97,0.341570905,0.178993897,0.042344892,0.12733983,,,,,,,,,,
98,0.323974256,0.167086276,0.034362834,0.117851735,,,,,,,,,,
99,0.323272201,0.176471006,0.032868039,0.132949582,,,,,,,,,,
100,0.343784991,0.169951295,0.034175073,0.124380177,,,,,,,,,,
101,0.347765656,0.164671729,0.032669907,0.110501604,,,,,,,,,,
102,0.322557879,0.171317882,0.041240598,0.1214852,,,,,,,,,,
103,0.334000236,0.180389908,0.034763582,0.139847461,,,,,,,,,,
105,0.332008994,0.174334148,0.046827253,0.144854489,,,,,,,,,,
107,0.34408851,0.182825752,0.030191484,0.12087371,,,,,,,,,,
108,0.353585306,0.171622676,0.036894837,0.132551162,,,,,,,,,,
109,0.340320884,0.166248032,0.039303699,0.126264087,,,,,,,,,,
110,0.323865243,0.167235046,0.032133178,0.12842932,,,,,,,,,,
111,0.322375826,0.164321164,0.03544376,0.118311498,,,,,,,,,,
112,0.317219204,0.186214197,0.033715176,0.130788829,,,,,,,,,,
113,0.340964554,0.178950698,0.034842069,0.127175124,,,,,,,,,,
114,0.319318117,0.177312618,0.041835968,0.136435646,,,,,,,,,,
115,0.324142949,0.187830091,0.036676289,0.133031112,,,,,,,,,,
116,0.333443899,0.174911257,0.043027726,0.137700487,,,,,,,,,,
117,0.331494002,0.16967656,0.03997867,0.142246389,,,,,,,,,,
118,0.336989116,0.172746228,0.039485503,0.128593918,,,,,,,,,,
120,0.30580826,0.18105487,0.037310265,0.125544226,,,,,,,,,,
121,0.348814074,0.18338727,0.045031826,0.136955483,,,,,,,,,,
122,0.338487541,0.172214003,0.036570906,0.116905128,,,,,,,,,,
